City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Hilo,US,100,2022-04-25,84,19.7297,-155.09,83.28,4.0
Guerrero Negro,MX,0,2022-04-25,49,27.9769,-114.0611,69.06,18.03
Busselton,AU,100,2022-04-25,50,-33.65,115.3333,68.56,11.3
Lingao,CN,32,2022-04-25,67,19.9103,109.6859,82.8,10.89
Lompoc,US,0,2022-04-25,76,34.6391,-120.4579,79.57,18.01
Korla,CN,96,2022-04-25,27,41.7597,86.1469,66.78,9.84
Matara,LK,100,2022-04-25,86,5.9485,80.5353,78.67,1.61
Jamestown,US,0,2022-04-25,40,42.097,-79.2353,73.04,5.75
Sabzawār,IR,100,2022-04-25,52,36.2126,57.6819,65.88,11.01
Kapaa,US,75,2022-04-25,74,22.0752,-159.319,82.38,14.97
Berdigestyakh,RU,80,2022-04-25,78,62.0989,126.6992,25.63,5.3
Port Alfred,ZA,100,2022-04-25,76,-33.5906,26.891,57.18,5.99
Cherskiy,RU,100,2022-04-25,80,68.75,161.3,22.89,7.25
Kaeo,NZ,100,2022-04-25,74,-35.1,173.7833,71.33,8.7
Ancud,CL,64,2022-04-25,75,-41.8697,-73.8203,44.22,21.72
Saint-Philippe,RE,84,2022-04-25,77,-21.3585,55.7679,74.79,12.86
Cape Town,ZA,0,2022-04-25,79,-33.9258,18.4232,57.9,8.01
Mehamn,NO,100,2022-04-25,81,71.0357,27.8492,33.13,4.97
Saint Paul Harbor,US,75,2022-04-25,54,57.79,-152.4072,53.11,8.05
Būrewāla,PK,100,2022-04-25,22,30.1667,72.65,80.6,6.31
Ulety,RU,100,2022-04-25,40,51.3572,112.4849,34.5,6.04
Dmitriyevka,RU,100,2022-04-25,74,54.75,55.3333,47.75,5.79
Geraldton,AU,100,2022-04-25,37,-28.7667,114.6,72.01,17.27
Tiksi,RU,93,2022-04-25,95,71.6872,128.8694,4.71,3.53
Peniche,PT,31,2022-04-25,93,39.3558,-9.3811,54.45,4.12
Hudson Bay,CA,88,2022-04-25,77,52.85,-102.3842,32.16,11.48
Kavaratti,IN,5,2022-04-25,71,10.5669,72.642,84.09,1.25
La Roda,ES,95,2022-04-25,63,39.2167,-2.15,48.9,4.7
Hobyo,SO,4,2022-04-25,72,5.3505,48.5268,82.78,11.07
Yulara,AU,13,2022-04-25,63,-25.2406,130.9889,67.8,6.31
Butaritari,KI,49,2022-04-25,77,3.0707,172.7902,81.36,10.96
Provideniya,RU,0,2022-04-25,64,64.3833,-173.3,35.71,4.47
Mahon,ES,0,2022-04-25,87,39.8885,4.2658,54.16,5.75
Bengkulu,ID,89,2022-04-25,87,-3.8004,102.2655,77.59,3.87
Faanui,PF,29,2022-04-25,72,-16.4833,-151.75,81.34,7.2
Barrow,US,75,2022-04-25,73,71.2906,-156.7887,19.42,10.36
Eskil,TR,0,2022-04-25,33,38.4017,33.4131,62.44,6.8
Singkang,MY,99,2022-04-25,90,2.1006,102.7994,79.72,2.71
Sozimskiy,RU,18,2022-04-25,97,59.7418,52.2482,31.68,4.09
Faya,SA,6,2022-04-25,51,18.3851,42.4509,59.52,1.1
Te Anau,NZ,43,2022-04-25,60,-45.4167,167.7167,59.99,3.53
Karla,EE,75,2022-04-25,81,59.3723,24.9275,40.71,12.66
Nísia Floresta,BR,17,2022-04-25,92,-6.0911,-35.2086,77.81,6.06
Longyearbyen,SJ,75,2022-04-25,61,78.2186,15.6401,8.44,11.5
Boguchany,RU,96,2022-04-25,87,58.3814,97.4531,30.47,6.8
Tūkrah,LY,19,2022-04-25,74,32.5341,20.5791,59.81,11.5
Jiblah,YE,1,2022-04-25,59,13.9216,44.1467,61.95,4.41
Kavieng,PG,100,2022-04-25,69,-2.5744,150.7967,84.83,7.52
Keşan,TR,58,2022-04-25,73,40.8558,26.6303,53.55,1.59
Port Shepstone,ZA,100,2022-04-25,90,-30.7414,30.455,63.45,10.96
North Bend,US,0,2022-04-25,91,43.4065,-124.2243,64.24,13.8
Lagoa,PT,0,2022-04-25,74,39.05,-27.9833,57.79,18.7
Carnarvon,AU,51,2022-04-25,78,-24.8667,113.6333,75.27,5.75
Okha,RU,100,2022-04-25,73,53.5739,142.9478,31.68,9.01
Norrtälje,SE,4,2022-04-25,87,59.758,18.705,37.02,6.35
Birnin Kebbi,NG,96,2022-04-25,35,12.4539,4.1975,87.17,8.93
Mumford,GH,100,2022-04-25,84,5.2618,-0.759,79.74,4.05
Alice Springs,AU,100,2022-04-25,82,-23.7,133.8833,65.75,9.22
The Valley,AI,19,2022-04-25,73,18.217,-63.0578,77.83,17.94
Hualmay,PE,51,2022-04-25,86,-11.0964,-77.6139,67.41,9.69
Kruisfontein,ZA,100,2022-04-25,78,-34.0033,24.7314,52.88,5.95
Pevek,RU,86,2022-04-25,89,69.7008,170.3133,13.21,1.39
Santa Rosalía,MX,0,2022-04-25,33,27.3167,-112.2833,73.45,6.24
Srednekolymsk,RU,100,2022-04-25,85,67.45,153.6833,21.18,16.91
Kulhudhuffushi,MV,21,2022-04-25,72,6.6221,73.07,84.13,6.17
Rawson,AR,1,2022-04-25,34,-43.3002,-65.1023,57.36,27.34
San Vicente,AR,0,2022-04-25,86,-26.6167,-54.1333,68.63,5.03
Darhan,MN,100,2022-04-25,50,49.4867,105.9228,30.79,18.57
Nouadhibou,MR,0,2022-04-25,76,20.931,-17.0347,65.19,14.0
New Norfolk,AU,100,2022-04-25,80,-42.7826,147.0587,56.91,1.68
Waddān,LY,18,2022-04-25,41,29.1614,16.139,64.42,5.77
Tuktoyaktuk,CA,100,2022-04-25,88,69.4541,-133.0374,32.04,4.0
Nanortalik,GL,100,2022-04-25,90,60.1432,-45.2371,37.35,3.42
Ushuaia,AR,60,2022-04-25,88,-54.8,-68.3,36.01,3.04
San Cristobal,VE,89,2022-04-25,98,7.7669,-72.225,69.98,2.04
Dwārka,IN,0,2022-04-25,74,22.2394,68.9678,80.74,11.14
Kitimat,CA,100,2022-04-25,99,54.0524,-128.6534,43.41,1.79
Atar,MR,0,2022-04-25,32,20.5169,-13.0499,76.32,7.61
Saldanha,ZA,0,2022-04-25,79,-33.0117,17.9442,57.27,14.2
Inhambane,MZ,0,2022-04-25,87,-23.865,35.3833,74.3,4.05
Treinta y Tres,UY,52,2022-04-25,43,-33.2333,-54.3833,64.51,9.66
Puri,IN,5,2022-04-25,87,19.8,85.85,82.92,14.76
Santa Marta,CO,47,2022-04-25,66,11.2408,-74.199,84.88,15.99
Talnakh,RU,90,2022-04-25,97,69.4865,88.3972,-3.8,5.1
Chapleau,CA,100,2022-04-25,94,47.8405,-83.4034,54.14,11.83
Sinyavskoye,RU,6,2022-04-25,85,47.277,39.2789,57.76,4.74
Derzhavīnsk,KZ,9,2022-04-25,58,51.1,66.3167,35.06,8.19
Manuk Mangkaw,PH,35,2022-04-25,77,4.8,119.85,82.56,3.87
Zhigansk,RU,91,2022-04-25,91,66.7697,123.3711,16.14,7.7
Peterhead,GB,100,2022-04-25,74,57.5058,-1.7981,43.66,3.09
Upernavik,GL,40,2022-04-25,94,72.7868,-56.1549,0.05,6.93
Thompson,CA,1,2022-04-25,67,55.7435,-97.8558,15.89,13.78
Kismayo,SO,87,2022-04-25,78,-0.3582,42.5454,82.22,11.39
Bisira,PA,77,2022-04-25,97,8.5196,-81.7115,61.2,2.75
Cabo San Lucas,MX,0,2022-04-25,63,22.8909,-109.9124,78.62,11.5
Akdepe,TM,27,2022-04-25,45,42.0551,59.3788,57.54,4.52
El Dorado,US,3,2022-04-25,37,38.7666,-120.5177,68.29,1.99
Bang Mun Nak,TH,8,2022-04-25,59,16.0278,100.3792,87.93,10.51
Zhangaözen,KZ,100,2022-04-25,33,43.3,52.8,60.15,11.81
Hasaki,JP,63,2022-04-25,73,35.7333,140.8333,73.29,3.65
Tuatapere,NZ,40,2022-04-25,69,-46.1333,167.6833,58.33,14.7
Belyy Yar,RU,11,2022-04-25,64,53.6039,91.3903,29.86,0.0
Alépé,CI,100,2022-04-25,91,5.5004,-3.6631,75.07,1.14
Dikson,RU,100,2022-04-25,93,73.5069,80.5464,8.78,16.6
Burnie,AU,87,2022-04-25,1,-41.0667,145.9167,56.95,6.24
Ndélé,CF,82,2022-04-25,70,8.4109,20.6473,76.78,6.26
East London,ZA,58,2022-04-25,72,-33.0153,27.9116,61.83,15.88
Ixtlán del Río,MX,0,2022-04-25,28,21.0333,-104.3667,81.41,7.65
Sikonge,TZ,100,2022-04-25,98,-5.6333,32.7667,63.72,2.62
Taltal,CL,0,2022-04-25,80,-25.4,-70.4833,63.77,5.23
Arbuzynka,UA,44,2022-04-25,81,47.9097,31.3196,50.0,6.62
Murindó,CO,100,2022-04-25,96,6.9848,-76.7544,74.64,2.71
Bathsheba,BB,40,2022-04-25,78,13.2167,-59.5167,79.41,20.71
Castro,BR,2,2022-04-25,94,-24.7911,-50.0119,59.74,5.21
Brasília,BR,0,2022-04-25,60,-15.7797,-47.9297,74.32,6.91
Ponta do Sol,PT,100,2022-04-25,86,32.6667,-17.1,65.01,10.96
Caravelas,BR,0,2022-04-25,93,-17.7125,-39.2481,76.23,4.85
Yining,CN,100,2022-04-25,87,29.0361,114.5636,76.46,4.5
Whitehorse,CA,75,2022-04-25,65,60.7161,-135.0538,48.02,5.75
Consolación del Sur,CU,0,2022-04-25,75,22.5047,-83.5136,74.23,7.18
Tiznit Province,MA,95,2022-04-25,90,29.5833,-9.5,53.11,4.88
Lata,PT,16,2022-04-25,95,40.1629,-8.3327,50.07,1.88
Pisco,PE,0,2022-04-25,77,-13.7,-76.2167,69.03,6.91
Mayo,US,0,2022-04-25,71,38.8876,-76.5119,65.26,11.5
Sovetskiy,RU,71,2022-04-25,96,61.3614,63.5842,29.97,2.8
Mt. Pleasant,US,0,2022-04-25,83,32.7941,-79.8626,71.01,3.44
Husavik,IS,100,2022-04-25,89,66.0449,-17.3389,41.83,0.65
Mill Valley,US,1,2022-04-25,71,37.906,-122.545,77.05,8.99
Walvis Bay,NA,0,2022-04-25,73,-22.9575,14.5053,58.96,11.12
Campbeltown,GB,30,2022-04-25,83,55.4258,-5.6076,42.85,10.8
Zeya,RU,0,2022-04-25,25,53.75,127.2667,42.98,7.27
Saskylakh,RU,90,2022-04-25,94,71.9167,114.0833,8.55,2.37
Buala,SB,86,2022-04-25,69,-8.145,159.5921,85.68,6.78
Samaná,DO,62,2022-04-25,79,19.2056,-69.3369,73.83,8.03
Laas,IT,99,2022-04-25,92,46.6166,10.7002,40.69,2.68
Lufilufi,WS,86,2022-04-25,76,-13.8745,-171.5986,82.29,11.32
Kaitangata,NZ,43,2022-04-25,67,-46.2817,169.8464,58.05,18.59
Ponta Delgada,PT,20,2022-04-25,72,37.7333,-25.6667,57.92,8.05
Erenhot,CN,57,2022-04-25,17,43.6475,111.9767,66.94,25.66
Kibondo,TZ,100,2022-04-25,98,-3.5864,30.7203,59.27,2.93
Meulaboh,ID,99,2022-04-25,86,4.1363,96.1285,79.43,3.85
Nicoya,CR,68,2022-04-25,74,10.1483,-85.452,80.91,1.7
Torbay,CA,100,2022-04-25,96,47.6666,-52.7314,37.76,16.11
Bushehr,IR,100,2022-04-25,40,28.9684,50.8385,78.37,2.75
Najrān,SA,16,2022-04-25,46,17.4924,44.1277,71.67,3.85
Denpasar,ID,75,2022-04-25,94,-8.65,115.2167,78.46,3.44
Miyako,JP,0,2022-04-25,59,39.6367,141.9525,63.57,3.2
Sitka,US,100,2022-04-25,76,57.0531,-135.33,46.29,0.0
Avarua,CK,20,2022-04-25,78,-21.2078,-159.775,82.45,5.75
Turukhansk,RU,100,2022-04-25,91,65.8167,87.9833,11.32,5.26
Hithadhoo,MV,100,2022-04-25,73,-0.6,73.0833,84.16,8.08
Nelson Bay,AU,100,2022-04-25,83,-32.7167,152.15,69.01,3.58
Dingle,PH,94,2022-04-25,74,10.9995,122.6711,84.61,11.01
Alta Floresta,BR,92,2022-04-25,94,-9.8756,-56.0861,73.94,2.82
Chui,UY,0,2022-04-25,62,-33.6971,-53.4616,64.36,13.06
Broken Hill,AU,37,2022-04-25,42,-31.95,141.4333,72.25,17.18
Tautira,PF,19,2022-04-25,70,-17.7333,-149.15,80.8,7.29
Gurupá,BR,100,2022-04-25,97,-1.405,-51.64,74.03,2.8
Mossamedes,AO,1,2022-04-25,82,-15.1961,12.1522,69.93,6.08
Pozo Colorado,PY,0,2022-04-25,48,-23.4923,-58.7972,86.54,13.58
Damaturu,NG,100,2022-04-25,40,11.747,11.9608,85.55,11.12
Atbasar,KZ,7,2022-04-25,54,51.8,68.3333,33.12,7.87
Souillac,MU,11,2022-04-25,75,-20.5167,57.5167,74.62,15.14
Nerchinskiy Zavod,RU,100,2022-04-25,60,51.3088,119.61,37.76,5.68
Saint-Augustin,CA,100,2022-04-25,91,51.226,-58.6502,37.13,19.17
Ahipara,NZ,98,2022-04-25,73,-35.1667,173.1667,65.08,12.21
Katsuura,JP,18,2022-04-25,73,35.1333,140.3,68.58,1.63
Juneau,US,100,2022-04-25,86,58.3019,-134.4197,46.4,11.5
Nueva Gorgona,PA,92,2022-04-25,99,8.55,-79.8667,82.22,3.53
Ust'-Ishim,RU,80,2022-04-25,70,57.6935,71.1665,34.52,6.08
Grindavik,IS,100,2022-04-25,93,63.8424,-22.4338,43.27,11.5
Constitución,CL,87,2022-04-25,92,-35.3333,-72.4167,54.27,3.0
Udachny,RU,51,2022-04-25,84,66.4167,112.4,15.98,3.33
Lüderitz,NA,0,2022-04-25,62,-26.6481,15.1594,54.63,15.99
Harper,LR,100,2022-04-25,84,4.375,-7.7169,80.31,2.8
Valera,VE,100,2022-04-25,94,9.3178,-70.6036,72.81,2.98
Iskateley,RU,100,2022-04-25,97,67.6803,53.1512,24.71,8.48
Uberaba,BR,93,2022-04-25,68,-19.7483,-47.9319,70.65,5.77
Khovd,MN,6,2022-04-25,33,48.0056,91.6419,26.37,1.99
Avera,US,84,2022-04-25,66,33.194,-82.5271,69.55,5.97
Touros,BR,100,2022-04-25,91,-5.1989,-35.4608,76.1,8.52
Arrondissement de Roanne,FR,52,2022-04-25,92,46.0,4.0,50.54,6.8
Esperance,AU,67,2022-04-25,68,-33.8667,121.9,64.15,9.8
San Andrés,CO,40,2022-04-25,83,12.5847,-81.7006,78.82,5.75
Yar-Sale,RU,54,2022-04-25,97,66.8333,70.8333,1.53,4.21
Forsytheganj,BY,100,2022-04-25,82,52.6333,29.7333,47.89,7.76
Saint George,US,0,2022-04-25,12,37.1041,-113.5841,71.64,16.11
Nikolskoye,RU,100,2022-04-25,97,59.7035,30.7861,44.87,6.17
Quechultenango,MX,24,2022-04-25,52,17.4167,-99.2167,77.36,6.35
Leopold,AU,40,2022-04-25,88,-38.1833,144.4667,64.65,5.75
Ati,TD,100,2022-04-25,14,13.2154,18.3353,88.11,3.49
Saint-Hyacinthe,CA,100,2022-04-25,54,45.6168,-72.9491,51.1,8.61
San Luis,AR,0,2022-04-25,47,-33.295,-66.3356,67.68,12.01
Hambantota,LK,75,2022-04-25,100,6.1241,81.1185,75.54,3.44
Nam Dinh,VN,88,2022-04-25,83,20.4167,106.1667,80.73,11.95
Finschhafen,PG,82,2022-04-25,67,-6.6024,147.8681,85.06,3.44
Port Lincoln,AU,67,2022-04-25,70,-34.7333,135.8667,67.12,15.21
Otautau,NZ,50,2022-04-25,71,-46.15,168.0,54.45,10.96
Tasiilaq,GL,17,2022-04-25,68,65.6145,-37.6368,30.36,3.24
Norman Wells,CA,89,2022-04-25,78,65.282,-126.8329,41.86,3.62
Malkara,TR,92,2022-04-25,67,40.89,26.9011,51.8,1.72
Port-Cartier,CA,100,2022-04-25,91,50.0334,-66.8654,36.75,5.08
Yelizavetinskoye,RU,8,2022-04-25,76,45.0072,43.3494,48.56,3.2
Zhuhai,CN,40,2022-04-25,89,22.2769,113.5678,85.86,8.05
St. George's,GD,94,2022-04-25,76,12.0564,-61.7485,78.58,13.69
Rincon,US,0,2022-04-25,64,32.296,-81.2354,70.86,8.05
Narrabri,AU,100,2022-04-25,51,-30.3167,149.7833,72.52,5.01
Taperoá,BR,93,2022-04-25,76,-7.2075,-36.8267,69.94,11.27
Natitingou,BJ,72,2022-04-25,67,10.3042,1.3796,79.2,4.47
Huejuquilla el Alto,MX,0,2022-04-25,19,22.6,-103.8667,75.97,14.09
Puerto Escondido,MX,75,2022-04-25,74,15.85,-97.0667,83.23,0.0
Ust-Tsilma,RU,100,2022-04-25,89,65.441,52.1498,31.1,4.29
Sava,IT,0,2022-04-25,42,40.4034,17.5584,60.08,6.96
Kondinskoye,RU,33,2022-04-25,93,59.6481,67.41,30.54,4.47
Kyshtovka,RU,72,2022-04-25,68,56.555,76.6271,33.82,7.14
Yasnyy,RU,55,2022-04-25,49,51.0333,59.8742,38.39,2.39
Ingham,US,100,2022-04-25,90,42.6,-84.3833,66.92,4.61
Maniitsoq,GL,100,2022-04-25,90,65.4167,-52.9,26.92,6.58
Alofi,NU,99,2022-04-25,79,-19.0595,-169.9187,78.94,11.61
Port Moresby,PG,81,2022-04-25,67,-9.4431,147.1797,83.84,4.12
Gelemso,ET,71,2022-04-25,84,8.8167,40.5167,61.57,5.06
Uauá,BR,3,2022-04-25,71,-9.8414,-39.4817,72.95,13.73
Los Llanos de Aridane,ES,75,2022-04-25,81,28.6585,-17.9182,62.35,10.36
Ilulissat,GL,100,2022-04-25,93,69.2167,-51.1,26.62,4.61
Kaka,TM,100,2022-04-25,55,37.3482,59.6143,66.24,4.16
Moose Factory,CA,100,2022-04-25,98,51.2585,-80.6094,46.06,7.92
Tiarei,PF,69,2022-04-25,72,-17.5333,-149.3333,87.82,8.16
Kharp,RU,18,2022-04-25,85,66.8014,65.8081,10.81,5.23
Huilong,CN,100,2022-04-25,93,31.8111,121.655,64.92,19.15
Vila Velha,BR,75,2022-04-25,85,-20.3297,-40.2925,78.75,13.0
Witu,KE,100,2022-04-25,84,-2.3889,40.4382,79.63,6.29
Koutsouras,GR,4,2022-04-25,75,35.0339,25.9469,62.11,3.94
Kalmunai,LK,73,2022-04-25,84,7.4167,81.8167,79.9,4.09
Leningradskiy,RU,93,2022-04-25,86,69.3833,178.4167,22.69,3.02
Cidreira,BR,0,2022-04-25,87,-30.1811,-50.2056,68.68,20.42
Bograd,RU,14,2022-04-25,58,54.2344,90.8328,31.42,5.06
Les Herbiers,FR,57,2022-04-25,99,46.8667,-1.0167,53.31,6.13
Nova Praha,UA,14,2022-04-25,86,48.5682,32.9027,46.96,7.56
Caibarién,CU,0,2022-04-25,79,22.5206,-79.4669,78.12,20.13
Domoni,KM,100,2022-04-25,88,-12.2569,44.5319,79.07,5.12
San Patricio,US,9,2022-04-25,86,28.017,-97.5169,79.9,16.06
Saint-Pierre,RE,75,2022-04-25,72,-21.3393,55.4781,74.88,17.27
Pangai,TO,83,2022-04-25,68,-19.8,-174.35,79.52,6.02
Coyhaique,CL,100,2022-04-25,81,-45.5752,-72.0662,40.95,8.05
Sinnamary,GF,77,2022-04-25,89,5.3833,-52.95,78.13,9.33
Garmsār,IR,100,2022-04-25,23,35.2182,52.3409,74.25,6.58
Bālāghāt,IN,1,2022-04-25,24,21.8,80.1833,85.19,2.15
Wajir,KE,89,2022-04-25,74,1.7471,40.0573,78.78,9.06
Huarmey,PE,74,2022-04-25,85,-10.0681,-78.1522,68.63,7.94
Biak,ID,4,2022-04-25,68,-0.9131,122.8766,83.46,0.49
Lavrentiya,RU,51,2022-04-25,76,65.5833,-171.0,27.86,4.32
Boende,CD,100,2022-04-25,87,-0.2167,20.8667,72.64,1.36
Bud,US,100,2022-04-25,63,39.447,-86.1758,73.67,12.91
Turtas,RU,55,2022-04-25,91,58.9417,69.1325,33.51,5.48
Takhtamygda,RU,100,2022-04-25,24,54.1,123.5667,41.79,3.29
Chulym,RU,23,2022-04-25,58,55.0997,80.9572,33.8,7.45
Fortuna,US,0,2022-04-25,72,40.5982,-124.1573,59.94,12.66
Bereda,ES,99,2022-04-25,100,43.2686,-7.5406,48.58,1.19
Okhotsk,RU,25,2022-04-25,83,59.3833,143.3,31.51,12.01
Medina del Campo,ES,44,2022-04-25,86,41.3124,-4.9141,42.4,4.74
Muros,ES,98,2022-04-25,93,42.7762,-9.0603,50.85,6.55
Trincomalee,LK,64,2022-04-25,83,8.5711,81.2335,80.29,4.76
Mahébourg,MU,13,2022-04-25,72,-20.4081,57.7,75.25,16.62
Port Elizabeth,ZA,100,2022-04-25,72,-33.918,25.5701,57.31,8.01
Airai,TL,99,2022-04-25,39,-8.9266,125.4092,72.66,2.71
Örnsköldsvik,SE,100,2022-04-25,86,63.2909,18.7153,32.95,3.44
Grenå,DK,6,2022-04-25,83,56.4158,10.8783,41.95,8.16
Banda Aceh,ID,100,2022-04-25,75,5.5577,95.3222,82.09,2.53
Sangar,RU,94,2022-04-25,87,63.9242,127.4739,23.0,6.87
Acaraú,BR,100,2022-04-25,87,-2.8856,-40.12,77.29,7.65
Timbiquí,CO,100,2022-04-25,92,2.7717,-77.6654,75.63,2.06
Abu Samrah,SY,0,2022-04-25,40,35.3029,37.1841,68.76,8.41
Kununurra,AU,70,2022-04-25,42,-15.7667,128.7333,85.98,6.91
Gimli,CA,100,2022-04-25,93,50.6336,-96.9907,25.48,26.73
Byron Bay,AU,100,2022-04-25,62,-28.65,153.6167,71.94,12.66
Kastamonu Province,TR,16,2022-04-25,78,41.5,33.6667,50.07,1.21
Vila Franca do Campo,PT,38,2022-04-25,81,37.7167,-25.4333,57.61,11.41
Nantucket,US,20,2022-04-25,67,41.2835,-70.0995,46.54,0.0
Rørvik,NO,100,2022-04-25,93,64.8621,11.2373,43.05,9.57
Mount Gambier,AU,100,2022-04-25,48,-37.8333,140.7667,65.05,4.36
San Miguel de Tucumán,AR,20,2022-04-25,94,-26.8241,-65.2226,64.4,5.75
Chongoyape,PE,79,2022-04-25,76,-6.6406,-79.3892,74.14,3.22
Atherton,GB,0,2022-04-25,80,53.5237,-2.4935,45.28,7.72
Tamiahua,MX,0,2022-04-25,88,21.2667,-97.45,77.99,15.93
Tamale,GH,100,2022-04-25,62,9.4008,-0.8393,83.14,10.47
Padang,ID,100,2022-04-25,80,-0.9492,100.3543,75.25,2.57
Sittwe,MM,15,2022-04-25,79,20.15,92.9,82.72,4.12
Pangnirtung,CA,100,2022-04-25,88,66.1451,-65.7125,21.38,5.01
Ixtapa,MX,0,2022-04-25,73,20.7,-105.2,76.23,8.05
Bandarbeyla,SO,66,2022-04-25,73,9.4942,50.8122,81.23,7.07
Rock Sound,BS,13,2022-04-25,73,24.9,-76.2,75.65,22.62
Bethel,US,0,2022-04-25,61,41.3712,-73.414,50.09,4.61
Chokurdakh,RU,25,2022-04-25,91,70.6333,147.9167,8.49,3.89
Toamasina,MG,100,2022-04-25,84,-18.1667,49.3833,74.88,7.52
Hong Kong,HK,8,2022-04-25,82,22.2855,114.1577,82.96,7.0
Balkhash,KZ,100,2022-04-25,73,46.844,74.9804,38.32,17.69
Harlingen,US,20,2022-04-25,81,26.1906,-97.6961,81.05,16.11
Kaoma,ZM,99,2022-04-25,73,-14.7833,24.8,66.18,3.18
Carballo,ES,84,2022-04-25,98,43.213,-8.691,51.51,4.03
Hashtrūd,IR,100,2022-04-25,61,37.4779,47.0508,53.64,3.49
Mezhova,UA,9,2022-04-25,91,48.2532,36.7347,48.02,3.67
Komsomolets,KZ,100,2022-04-25,43,53.7453,62.0708,42.57,7.49
Nieuw Amsterdam,SR,100,2022-04-25,89,5.8833,-55.0833,81.01,8.68
Abhā,SA,0,2022-04-25,67,18.2164,42.5053,59.25,0.0
San Buenaventura,MX,1,2022-04-25,30,27.0833,-101.5333,92.32,14.74
Bitung,ID,33,2022-04-25,68,1.4451,125.1824,88.65,2.51
Mago,RU,100,2022-04-25,91,53.2514,140.1822,30.69,4.18
Makakilo City,US,40,2022-04-25,51,21.3469,-158.0858,82.72,20.71
Arrondissement du Havre,FR,100,2022-04-25,93,49.5833,0.3333,46.8,11.5
Dunedin,NZ,8,2022-04-25,53,-45.8742,170.5036,63.81,15.01
Coquimbo,CL,100,2022-04-25,94,-29.9533,-71.3436,56.93,1.14
Grand Baie,MU,83,2022-04-25,71,-20.0182,57.5802,75.45,8.99
Port Hardy,CA,100,2022-04-25,92,50.6996,-127.4199,45.72,11.65
